"id";"indicator_id";"measure1_id";"measure2_id";"unit_id";"obs_val";"date";"periodicity"
334265;7;"";19;3;34720.4;"2022-06-01T00:00:00";"month"
334267;8;"";23;3;68993.4;"2022-06-01T00:00:00";"month"
334268;7;"";12;3;68993.4;"2022-06-01T00:00:00";"month"
334269;8;"";24;3;406.9;"2022-06-01T00:00:00";"month"
334270;8;"";25;3;8934.9;"2022-06-01T00:00:00";"month"
334271;8;"";26;3;4586.4;"2022-06-01T00:00:00";"month"
334278;8;"";27;3;5.1;"2022-06-01T00:00:00";"month"
334279;8;"";12;3;82926.6;"2022-06-01T00:00:00";"month"
334432;7;"";20;3;2250.9;"2022-06-01T00:00:00";"month"
334433;7;"";21;3;10941.7;"2022-06-01T00:00:00";"month"
334434;7;"";22;3;21080.5;"2022-06-01T00:00:00";"month"
334435;8;"";25;3;7208.4;"2022-07-01T00:00:00";"month"
334502;8;"";26;3;3707.6;"2022-07-01T00:00:00";"month"
334503;8;"";27;3;5.0;"2022-07-01T00:00:00";"month"
334504;8;"";12;3;80801.7;"2022-07-01T00:00:00";"month"
334597;7;"";20;3;2589.4;"2022-10-01T00:00:00";"month"
334598;7;"";21;3;12334.7;"2022-10-01T00:00:00";"month"
334599;7;"";22;3;19571.0;"2022-10-01T00:00:00";"month"
334602;7;"";19;3;41323.0;"2022-11-01T00:00:00";"month"
334604;8;"";23;3;75636.5;"2022-11-01T00:00:00";"month"
334658;7;"";20;3;2219.1;"2022-07-01T00:00:00";"month"
334659;7;"";21;3;10748.3;"2022-07-01T00:00:00";"month"
334660;7;"";22;3;20198.0;"2022-07-01T00:00:00";"month"
334661;8;"";24;3;257.5;"2022-07-01T00:00:00";"month"
334663;7;"";19;3;36457.9;"2022-07-01T00:00:00";"month"
334665;8;"";23;3;69623.2;"2022-07-01T00:00:00";"month"
334666;7;"";12;3;69623.2;"2022-07-01T00:00:00";"month"
334671;7;"";19;3;39015.6;"2022-09-01T00:00:00";"month"
334673;8;"";23;3;73333.3;"2022-09-01T00:00:00";"month"
334674;7;"";12;3;73333.3;"2022-09-01T00:00:00";"month"
334675;8;"";24;3;312.3;"2022-09-01T00:00:00";"month"
334676;8;"";25;3;8022.8;"2022-09-01T00:00:00";"month"
334677;8;"";26;3;4019.7;"2022-09-01T00:00:00";"month"
334678;8;"";27;3;5.0;"2022-09-01T00:00:00";"month"
334679;8;"";12;3;85693.0;"2022-09-01T00:00:00";"month"
334683;7;"";20;3;2327.4;"2022-09-01T00:00:00";"month"
334684;7;"";21;3;11779.5;"2022-09-01T00:00:00";"month"
334685;7;"";22;3;20210.8;"2022-09-01T00:00:00";"month"
334699;7;"";19;3;40601.7;"2022-10-01T00:00:00";"month"
334701;8;"";23;3;75096.8;"2022-10-01T00:00:00";"month"
334702;7;"";12;3;75096.8;"2022-10-01T00:00:00";"month"
334703;8;"";24;3;273.2;"2022-10-01T00:00:00";"month"
334704;8;"";25;3;7342.8;"2022-10-01T00:00:00";"month"
334705;8;"";26;3;3420.2;"2022-10-01T00:00:00";"month"
334706;8;"";27;3;4.8;"2022-10-01T00:00:00";"month"
334707;8;"";12;3;86137.8;"2022-10-01T00:00:00";"month"
334724;7;"";19;3;44964.6;"2023-02-01T00:00:00";"month"
334726;8;"";23;3;82221.7;"2023-02-01T00:00:00";"month"
334727;7;"";12;3;82221.7;"2023-02-01T00:00:00";"month"
334728;8;"";24;3;325.2;"2023-02-01T00:00:00";"month"
334729;8;"";25;3;8209.0;"2023-02-01T00:00:00";"month"
334730;8;"";26;3;3735.1;"2023-02-01T00:00:00";"month"
334731;8;"";27;3;4.7;"2023-02-01T00:00:00";"month"
334775;8;"";26;3;3445.6;"2022-11-01T00:00:00";"month"
334776;8;"";27;3;4.8;"2022-11-01T00:00:00";"month"
334777;8;"";12;3;86655.5;"2022-11-01T00:00:00";"month"
334781;7;"";20;3;2590.3;"2022-11-01T00:00:00";"month"
334782;7;"";21;3;12207.0;"2022-11-01T00:00:00";"month"
334783;7;"";22;3;19516.2;"2022-11-01T00:00:00";"month"
334786;7;"";19;3;41484.6;"2022-12-01T00:00:00";"month"
334788;8;"";23;3;76873.3;"2022-12-01T00:00:00";"month"
334789;7;"";12;3;76873.3;"2022-12-01T00:00:00";"month"
334790;8;"";24;3;314.3;"2022-12-01T00:00:00";"month"
334791;8;"";25;3;7226.2;"2022-12-01T00:00:00";"month"
334834;7;"";12;3;75636.5;"2022-11-01T00:00:00";"month"
334835;8;"";24;3;268.0;"2022-11-01T00:00:00";"month"
334836;8;"";25;3;7300.6;"2022-11-01T00:00:00";"month"
334917;8;"";12;3;94495.6;"2023-02-01T00:00:00";"month"
334921;7;"";20;3;3114.6;"2023-02-01T00:00:00";"month"
334922;7;"";21;3;13729.9;"2023-02-01T00:00:00";"month"
334923;7;"";22;3;20412.6;"2023-02-01T00:00:00";"month"
334951;8;"";25;3;9035.1;"2023-05-01T00:00:00";"month"
334952;8;"";26;3;3751.9;"2023-05-01T00:00:00";"month"
334953;8;"";27;3;4.4;"2023-05-01T00:00:00";"month"
334963;8;"";26;3;3379.1;"2022-12-01T00:00:00";"month"
334964;8;"";27;3;4.7;"2022-12-01T00:00:00";"month"
334965;8;"";12;3;87797.6;"2022-12-01T00:00:00";"month"
335057;8;"";25;3;10132.3;"2021-11-01T00:00:00";"month"
335058;8;"";26;3;6535.9;"2021-11-01T00:00:00";"month"
335059;8;"";27;3;6.1;"2021-11-01T00:00:00";"month"
335060;8;"";12;3;77916.5;"2021-11-01T00:00:00";"month"
335063;7;"";20;3;1960.2;"2021-11-01T00:00:00";"month"
335064;7;"";21;3;8847.9;"2021-11-01T00:00:00";"month"
335065;7;"";22;3;16204.0;"2021-11-01T00:00:00";"month"
335066;8;"";24;3;428.5;"2021-11-01T00:00:00";"month"
335068;7;"";19;3;33801.7;"2021-11-01T00:00:00";"month"
335070;8;"";23;3;60813.7;"2021-11-01T00:00:00";"month"
335071;7;"";12;3;60813.7;"2021-11-01T00:00:00";"month"
335204;7;"";19;3;32198.2;"2021-04-01T00:00:00";"month"
335206;8;"";23;3;58261.6;"2021-04-01T00:00:00";"month"
335207;7;"";12;3;58261.6;"2021-04-01T00:00:00";"month"
335211;7;"";20;3;1832.7;"2021-04-01T00:00:00";"month"
335212;7;"";21;3;8069.4;"2021-04-01T00:00:00";"month"
335213;7;"";22;3;16161.3;"2021-04-01T00:00:00";"month"
335214;8;"";24;3;450.2;"2021-04-01T00:00:00";"month"
335215;8;"";25;3;10017.7;"2021-04-01T00:00:00";"month"
335216;8;"";26;3;6666.7;"2021-04-01T00:00:00";"month"
335217;8;"";27;3;9.8;"2021-04-01T00:00:00";"month"
335218;8;"";12;3;75405.9;"2021-04-01T00:00:00";"month"
335250;7;"";19;3;45350.5;"2023-04-01T00:00:00";"month"
335252;8;"";23;3;84813.4;"2023-04-01T00:00:00";"month"
335253;7;"";12;3;84813.4;"2023-04-01T00:00:00";"month"
335297;7;"";20;3;2651.2;"2022-12-01T00:00:00";"month"
335298;7;"";21;3;13157.4;"2022-12-01T00:00:00";"month"
335299;7;"";22;3;19580.1;"2022-12-01T00:00:00";"month"
335302;7;"";19;3;44018.5;"2023-01-01T00:00:00";"month"
335304;8;"";23;3;82388.0;"2023-01-01T00:00:00";"month"
335305;7;"";12;3;82388.0;"2023-01-01T00:00:00";"month"
335306;8;"";24;3;318.4;"2023-01-01T00:00:00";"month"
335307;8;"";25;3;8197.4;"2023-01-01T00:00:00";"month"
335308;8;"";26;3;3806.9;"2023-01-01T00:00:00";"month"
335309;8;"";27;3;4.7;"2023-01-01T00:00:00";"month"
335310;8;"";12;3;94715.4;"2023-01-01T00:00:00";"month"
335314;7;"";20;3;2859.6;"2023-01-01T00:00:00";"month"
335315;7;"";21;3;15233.2;"2023-01-01T00:00:00";"month"
335316;7;"";22;3;20276.7;"2023-01-01T00:00:00";"month"
335399;7;"";19;3;36008.7;"2022-01-01T00:00:00";"month"
335401;8;"";23;3;66252.9;"2022-01-01T00:00:00";"month"
335407;7;"";20;3;4022.7;"2023-04-01T00:00:00";"month"
335408;7;"";21;3;14638.5;"2023-04-01T00:00:00";"month"
335409;7;"";22;3;20801.7;"2023-04-01T00:00:00";"month"
335410;8;"";24;3;408.9;"2023-04-01T00:00:00";"month"
335411;8;"";25;3;8783.7;"2023-04-01T00:00:00";"month"
335412;8;"";26;3;3764.6;"2023-04-01T00:00:00";"month"
335413;8;"";27;3;4.5;"2023-04-01T00:00:00";"month"
335414;8;"";12;3;97775.0;"2023-04-01T00:00:00";"month"
335415;8;"";24;3;482.2;"2022-01-01T00:00:00";"month"
335416;8;"";25;3;10304.9;"2022-01-01T00:00:00";"month"
335417;8;"";26;3;6715.8;"2022-01-01T00:00:00";"month"
335418;8;"";27;3;5.8;"2022-01-01T00:00:00";"month"
335419;8;"";12;3;83761.5;"2022-01-01T00:00:00";"month"
335441;8;"";26;3;3969.3;"2023-08-01T00:00:00";"month"
335442;8;"";27;3;4.3;"2023-08-01T00:00:00";"month"
335443;8;"";12;3;102686.8;"2023-08-01T00:00:00";"month"
335446;7;"";20;3;3275.6;"2023-08-01T00:00:00";"month"
335557;7;"";21;3;13955.8;"2023-08-01T00:00:00";"month"
335558;7;"";22;3;21545.6;"2023-08-01T00:00:00";"month"
335709;8;"";24;3;367.7;"2023-08-01T00:00:00";"month"
335711;7;"";19;3;49517.1;"2023-08-01T00:00:00";"month"
335713;8;"";23;3;88294.0;"2023-08-01T00:00:00";"month"
335714;7;"";12;3;88294.0;"2023-08-01T00:00:00";"month"
335733;7;"";19;3;49710.8;"2023-09-01T00:00:00";"month"
335805;8;"";25;3;9423.3;"2023-07-01T00:00:00";"month"
335806;8;"";26;3;3872.7;"2023-07-01T00:00:00";"month"
335807;8;"";27;3;4.4;"2023-07-01T00:00:00";"month"
335808;8;"";12;3;100918.6;"2023-07-01T00:00:00";"month"
335812;7;"";20;3;3268.2;"2023-07-01T00:00:00";"month"
335813;7;"";21;3;14129.1;"2023-07-01T00:00:00";"month"
335814;7;"";22;3;21432.0;"2023-07-01T00:00:00";"month"
335815;8;"";25;3;10051.4;"2023-08-01T00:00:00";"month"
335820;7;"";12;3;66252.9;"2022-01-01T00:00:00";"month"
335824;7;"";20;3;2295.9;"2022-01-01T00:00:00";"month"
335825;7;"";21;3;10779.4;"2022-01-01T00:00:00";"month"
335826;7;"";22;3;17168.9;"2022-01-01T00:00:00";"month"
335829;7;"";19;3;49685.7;"2024-01-01T00:00:00";"month"
335831;8;"";23;3;98385.4;"2024-01-01T00:00:00";"month"
335832;7;"";12;3;98385.4;"2024-01-01T00:00:00";"month"
335836;7;"";20;3;3783.2;"2024-01-01T00:00:00";"month"
335837;7;"";21;3;17530.7;"2024-01-01T00:00:00";"month"
335838;7;"";22;3;27385.8;"2024-01-01T00:00:00";"month"
335839;8;"";24;3;450.9;"2024-01-01T00:00:00";"month"
335840;8;"";25;3;9644.4;"2024-01-01T00:00:00";"month"
335841;8;"";26;3;3998.2;"2024-01-01T00:00:00";"month"
335842;8;"";27;3;4.2;"2024-01-01T00:00:00";"month"
335843;8;"";12;3;112483.1;"2024-01-01T00:00:00";"month"
335901;7;"";19;3;48630.0;"2023-11-01T00:00:00";"month"
335903;8;"";23;3;91134.7;"2023-11-01T00:00:00";"month"
