"date";"periodicity";"title";"m1";"m2";"value";"dim"
"2022-12-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2022-12-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2023-01-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";"";"% годовых"
"2023-01-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2023-01-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2023-01-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2023-02-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";"";"% годовых"
"2023-02-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2023-02-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2023-02-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2023-03-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";"";"% годовых"
"2023-03-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2023-03-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2023-03-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2023-04-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";"";"% годовых"
"2023-04-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2023-04-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2023-04-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2023-05-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";"";"% годовых"
"2023-05-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2023-05-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
"2023-05-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"Свыше 3 лет";"";"% годовых"
"2023-06-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"От 1 года до 3 лет";0.42;"% годовых"
"2023-06-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В долларах США";"Свыше 3 лет";"";"% годовых"
"2023-06-01T00:00:00";"month";"Ставки по вкладам (депозитам) нефинансовых организаций";"В евро";"От 1 года до 3 лет";"";"% годовых"
