Date/Time,OPCServer,Source,Message,Category,Severity,ConditionName,TagName
09 Sep 2024 20:42:24.090,LER014_SCS_SOE,0779GDOPR01008,BLOCKED BEAM TRUE,SCSSOE Event,500,,0779GDOPR01008
09 Sep 2024 20:42:24.000,PMIS0001CAMS,213FY00011,213FY00011   REFLUX RATIO CONTROL     SV  =  0.250      old=  0.245  [ OWS2SUP@OWS1657 ],Operation record,178,,213FY00011
09 Sep 2024 20:42:23.904,LER-030_SCS_S2,579XI04501,NOT READY   FES FALSE,SCSSOE Event,500,,579XI04501
09 Sep 2024 20:42:23.904,LER-030_SCS_SOE,579XI04501,NOT READY   FES FALSE,SCSSOE Event,500,,579XI04501
09 Sep 2024 20:42:23.554,LER014_SCS_SOE,079XI51734,NOT READY   FES TRUE,SCSSOE Event,500,,079XI51734
09 Sep 2024 20:42:22.705,LER-030_SCS_S2,579XI04501,NOT READY   FES TRUE,SCSSOE Event,500,,579XI04501
09 Sep 2024 20:42:22.705,LER-030_SCS_SOE,579XI04501,NOT READY   FES TRUE,SCSSOE Event,500,,579XI04501
09 Sep 2024 20:42:22.355,LER014_SCS_SOE,079XI51734,NOT READY   FES FALSE,SCSSOE Event,500,,079XI51734
09 Sep 2024 20:42:21.507,LER-030_SCS_S2,579XI04501,NOT READY   FES FALSE,SCSSOE Event,500,,579XI04501
09 Sep 2024 20:42:21.507,LER-030_SCS_SOE,579XI04501,NOT READY   FES FALSE,SCSSOE Event,500,,579XI04501
09 Sep 2024 20:42:21.390,LER014_SCS_SOE,0779GDOPR01008,BLOCKED BEAM FALSE,SCSSOE Event,500,,0779GDOPR01008
09 Sep 2024 20:42:21.154,LER014_SCS_SOE,079XI51734,NOT READY   FES TRUE,SCSSOE Event,500,,079XI51734
09 Sep 2024 20:42:21.090,LER014_SCS_SOE,0779GDOPR01008,BLOCKED BEAM TRUE,SCSSOE Event,500,,0779GDOPR01008
09 Sep 2024 20:42:20.304,LER-030_SCS_S2,579XI04501,NOT READY   FES TRUE,SCSSOE Event,500,,579XI04501
09 Sep 2024 20:42:20.304,LER-030_SCS_SOE,579XI04501,NOT READY   FES TRUE,SCSSOE Event,500,,579XI04501
09 Sep 2024 20:42:20.230,LER-030_SCS_S2,MODBUS,SERIAL COMM FAIL FALSE,SCSSOE Event,500,,MODBUS
09 Sep 2024 20:42:20.230,LER-030_SCS_SOE,MODBUS,SERIAL COMM FAIL FALSE,SCSSOE Event,500,,MODBUS
09 Sep 2024 20:42:20.130,LER-030_SCS_S2,MODBUS,SERIAL COMM FAIL FALSE,SCSSOE Event,500,,MODBUS
09 Sep 2024 20:42:20.130,LER-030_SCS_SOE,MODBUS,SERIAL COMM FAIL FALSE,SCSSOE Event,500,,MODBUS
09 Sep 2024 20:42:19.955,LER014_SCS_SOE,079XI51734,NOT READY   FES FALSE,SCSSOE Event,500,,079XI51734
09 Sep 2024 20:42:19.230,LER-030_SCS_S2,MODBUS,SERIAL COMM FAIL TRUE,SCSSOE Event,500,,MODBUS
09 Sep 2024 20:42:19.230,LER-030_SCS_SOE,MODBUS,SERIAL COMM FAIL TRUE,SCSSOE Event,500,,MODBUS
09 Sep 2024 20:42:19.104,LER-030_SCS_S2,579XI04501,NOT READY   FES FALSE,SCSSOE Event,500,,579XI04501
09 Sep 2024 20:42:19.104,LER-030_SCS_SOE,579XI04501,NOT READY   FES FALSE,SCSSOE Event,500,,579XI04501
09 Sep 2024 20:42:18.754,LER014_SCS_SOE,079XI51734,NOT READY   FES TRUE,SCSSOE Event,500,,079XI51734
09 Sep 2024 20:42:18.730,LER-030_SCS_S2,MODBUS,SERIAL COMM FAIL TRUE,SCSSOE Event,500,,MODBUS
09 Sep 2024 20:42:18.730,LER-030_SCS_SOE,MODBUS,SERIAL COMM FAIL TRUE,SCSSOE Event,500,,MODBUS
09 Sep 2024 20:42:18.390,LER014_SCS_SOE,0779GDOPR01008,BLOCKED BEAM FALSE,SCSSOE Event,500,,0779GDOPR01008
09 Sep 2024 20:42:18.090,LER014_SCS_SOE,0779GDOPR01008,BLOCKED BEAM TRUE,SCSSOE Event,500,,0779GDOPR01008
09 Sep 2024 20:42:17.906,LER-030_SCS_S2,579XI04501,NOT READY   FES TRUE,SCSSOE Event,500,,579XI04501
09 Sep 2024 20:42:17.906,LER-030_SCS_SOE,579XI04501,NOT READY   FES TRUE,SCSSOE Event,500,,579XI04501
09 Sep 2024 20:42:17.869,LER816_SCS_SOE,879XI06663,INDICATOR FACP TRUE,SCSSOE Event,500,,879XI06663
09 Sep 2024 20:42:17.554,LER014_SCS_SOE,079XI51734,NOT READY   FES FALSE,SCSSOE Event,500,,079XI51734
09 Sep 2024 20:42:17.055,LER400_STN0954,414PZI02911,414PZI02911  P BG. 1 SGU PZIT-02911   NR,Process alarm of Simple event,160,,414PZI02911
09 Sep 2024 20:42:16.705,LER-030_SCS_S2,579XI04501,NOT READY   FES FALSE,SCSSOE Event,500,,579XI04501
09 Sep 2024 20:42:16.705,LER-030_SCS_SOE,579XI04501,NOT READY   FES FALSE,SCSSOE Event,500,,579XI04501
09 Sep 2024 20:42:16.669,LER816_SCS_SOE,879XI06663,INDICATOR FACP FALSE,SCSSOE Event,500,,879XI06663
09 Sep 2024 20:42:16.356,LER014_SCS_SOE,079XI51734,NOT READY   FES TRUE,SCSSOE Event,500,,079XI51734
